"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, comments and shares",Reactions,Comments,Shares,"Total clicks","Link clicks","Other clicks","Matched audience targeting consumption (Photo Click)","Negative feedback from users: Hide all","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1379458960880543,100064493572441,"Barker and Stonehouse","Is your garden ready for summer? ☀️🌻

This Bank Holiday weekend only, enjoy an extra £50 off for every £500 you spend on garden furniture. There’s never been a better time to transform your outdoor space into your own summer oasis.

Shop now: https://ow.ly/qqnz50YSrJs",,0,"05/01/2026 08:01",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid0auN8yVPo5syQpSX2Qm5UszP81WWKcnBaVaDbQs2SZ23sXPKLGJXZJywLFoPtoEx1l,0,0,Photos,,,,,Lifetime,3322,2249,2,2,0,0,15,12,1,2,1,,,,,
1372082721618167,100064493572441,"Barker and Stonehouse","Sleep better for less with Simba mattresses at Barker and Stonehouse. Hurry, offers ends Sunday!

Shop Simba mattresses:  https://ow.ly/awwv50YOAYp",,0,"04/23/2026 07:47",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid02cUSmL4Ja57vBGDEeT34DTKVeoUPTvkfyHVmGGb4VzkZyNvFFPnsBjmp1VPeq4ejTl,0,0,Photos,,,,,Lifetime,3075,2147,0,0,0,0,5,3,2,,,,,,,
1440771691415936,100064493572441,"Barker and Stonehouse","This weekend only! Save an extra 10% off clearance furniture with code EXTRA10. 

Shop in store or online: https://ow.ly/gAI550Zm2Zx",,0,"07/10/2026 01:01",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid0tVVkKNjV9G3biBpTLkSJPxCqLMDrhVU7fcJCqBqYcy9Sd4AW1EjnTrzWBmq3Z7HPl,0,0,Photos,,,,,Lifetime,1173,728,0,0,0,0,10,7,1,2,,,,,,
1430038035822635,100064493572441,"Barker and Stonehouse","Summer is officially here ☀️🏖️

Shop our Summer Sale now and refresh your home and garden for the season ahead, with up to 25% off furniture and up to 50% off clearance https://ow.ly/ya4z50Zhumf",,0,"06/28/2026 03:25",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid0RoLM7bFUR2FccF7ArKNkMRBPrhhD1xPGBu2Y1XMitSg6skRPgeBLv1SxSWp7fRj2l,0,0,Photos,,,,,Lifetime,2153,1360,0,0,0,0,11,10,,1,,,,,,
1422457393247366,100064493572441,"Barker and Stonehouse","This is your reminder🚨

Pop into your local Barker and Stonehouse this week and scan the QR code for a chance to win a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery🥳

Hurry…only 9 days left!","This is your reminder🚨

Pop into your local Barker and Stonehouse this week and scan the QR code for a chance to win a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery🥳

Hurry…only 9 days left!",12,"06/21/2026 01:30",N/A,https://www.facebook.com/reel/1665566014722444/,0,0,Videos,,,,,Lifetime,1940,1842,5,3,2,0,4,,4,,,5499.309,3.302,0,0,0
1422453803247725,100064493572441,"Barker and Stonehouse","Summer just got a little more exciting ☀️

Visit your local Barker & Stonehouse for the chance to win a prize such as a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery😆

1️⃣ Scan & screenshot: Scan the QR code and save your result.

2️⃣ Shop your prize: Choose the item you’d like to put it towards.

3️⃣ Show & redeem: Show your screenshot to a team member at checkout.

Pop in store, take part, and see what you could win🥳","Summer just got a little more exciting ☀️

Visit your local Barker & Stonehouse for the chance to win a prize such as a £5,000 furniture voucher, £200 furniture voucher, £50 off every £1000 you spend or free delivery😆

1️⃣ Scan & screenshot: Scan the QR code and save your result.

2️⃣ Shop your prize: Choose the item you’d like to put it towards.

3️⃣ Show & redeem: Show your screenshot to a team member at checkout.

Pop in store, take part, and see what you could win🥳",30,"06/20/2026 01:30",N/A,https://www.facebook.com/reel/1040277631910388/,0,0,Videos,,,,,Lifetime,1293,1303,2,2,0,0,1,,1,,,3428.281,2.91,0,0,0
1422178416608597,100064493572441,"Barker and Stonehouse","What will you unlock? 

Sign up for your free summer gift! 

https://www.barkerandstonehouse.co.uk/signup",,0,"06/19/2026 02:30",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid0tK1h19vDrpswRd2NGm2hsgvaAQfRUVV11KVMWd1fQrBsusCDzFUcoRkRZHxqGkCdl,0,0,Photos,,,,,Lifetime,1547,1049,2,1,0,1,21,14,7,,,,,,,
1422146749945097,100064493572441,"Barker and Stonehouse","Summer has well and truly arrived ☀️

Make the most of the season with a fresh new look for your home. Enjoy 25% off all furniture, up to 50% off clearance, and 70% off accessories in our Summer Sale. 

Shop online and in store from tomorrow.","Summer has well and truly arrived ☀️

Make the most of the season with a fresh new look for your home. Enjoy 25% off all furniture, up to 50% off clearance, and 70% off accessories in our Summer Sale. 

Shop online and in store from tomorrow.",17,"06/19/2026 01:30",uploaded,https://www.facebook.com/reel/27575957888683566/,1,0,Videos,,,,,Lifetime,1007,1021,3,3,0,0,4,,4,,,2637.004,2.894,0,0,0
1421594240000348,100064493572441,"Barker and Stonehouse","Have you received your copy of The Summer Times yet? ☀️

Packed with all the inspiration you need for the season ahead, it’s your go-to guide for summer style.

Plus, there’s a free gift waiting inside too🤭","Have you received your copy of The Summer Times yet? ☀️

Packed with all the inspiration you need for the season ahead, it’s your go-to guide for summer style.

Plus, there’s a free gift waiting inside too🤭",27,"06/18/2026 09:30",uploaded,https://www.facebook.com/reel/1704376637548776/,1,0,Videos,,,,,Lifetime,820,841,1,1,0,0,3,,3,,,1918.063,2.574,0,0,0
1421329086693530,100064493572441,"Barker and Stonehouse","Barker and Stonehouse updated their status.",,0,"06/18/2026 03:57",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid03568Wi182R1QL42aRt8w1TCnQqH2uHAeHWXeqCyaNbHxF25t5oanh7uRE7qi495kZl,0,0,Text,,,,,Lifetime,596,448,0,0,0,0,0,,,,,,,,,
1421239030035869,100064493572441,"Barker and Stonehouse","The Summer Sale is almost here🌞

Now’s your chance to make the most of the season in store and online🛋️

https://ow.ly/IW6U50Zc9Ts",,0,"06/18/2026 01:30",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid0267m3Bt78jn2QKL5Y9p9cnqLtVishjgivh82dUPANWPq5SCwgu8MvEaui5aGDmZUWl,0,0,Photos,,,,,Lifetime,1042,821,2,2,0,0,8,6,,2,,,,,,
1415332050626567,100064493572441,"Barker and Stonehouse","Summer is coming…and so is our Summer Sale! Offers start Saturday in store and online.","Summer is coming…and so is our Summer Sale! Offers start Saturday in store and online.",17,"06/15/2026 10:01",N/A,https://www.facebook.com/reel/1648738832847199/,0,0,Videos,,,,,Lifetime,758,811,3,3,0,0,0,,,,,1572.32,2.227,0,0,0
1415330510626721,100064493572441,"Barker and Stonehouse","This is your sign…to refresh your space for less ✨

Save 20% off all accessories online and in store, plus up to 70% off selected pieces in store only.","This is your sign…to refresh your space for less ✨

Save 20% off all accessories online and in store, plus up to 70% off selected pieces in store only.",29,"06/14/2026 01:30",N/A,https://www.facebook.com/reel/1984128622380376/,0,0,Videos,,,,,Lifetime,1296,1292,2,2,0,0,11,,11,,,5078.154,4.366,0,0,0
1403652561794516,100064493572441,"Barker and Stonehouse","Few design partnerships stand the test of time, but the relationship between Barker and Stonehouse and ercol has endured for more than 80 years. Built on shared values of craftsmanship, quality and thoughtful design, it is a collaboration that has shaped British interiors for generations.

With the fourth generation now stepping forward in both family businesses, George Barker and Henry Tadros reflect on the 80 year journey together.","Few design partnerships stand the test of time, but the relationship between Barker and Stonehouse and ercol has endured for more than 80 years. Built on shared values of craftsmanship, quality and thoughtful design, it is a collaboration that has shaped British interiors for generations.

With the fourth generation now stepping forward in both family businesses, George Barker and Henry Tadros reflect on the 80 year journey together.",55,"05/29/2026 09:00",auto,https://www.facebook.com/reel/1674064997262877/,1,0,Videos,,,,,Lifetime,1915,1815,7,6,0,1,15,,15,,,7103.076,4.082,0,0,0
1402725498553889,100064493572441,"Barker and Stonehouse","We’re delighted to be taking part in the Great Knaresborough Bed Race this year 🛏️

On 13th June, our team will be taking part in this unique event – part fancy dress parade, part gruelling 2.4-mile race, finishing with a swim through the icy River Nidd! 🥶

We’re excited to be fundraising for Jennyruth Workshop, a local registered charity that provides meaningful work and skills development opportunities for adults with learning disabilities. They create a safe, inclusive and supportive environment where individuals can build confidence, develop new and existing skills, be recognised for their abilities, and make valuable contributions to their community.

We’re especially proud that Jennyruth Workshops are also helping us build elements of our parade float, making this a real collaboration from start to finish.

Our team brings together colleagues from across the business, led by our Team Captain, George B.

If you’re able to support us, we’d be incredibly grateful for any donation, big or small – every contribution goes towards an amazing cause 🙌
👉 ",,0,"05/28/2026 08:12",N/A,https://www.facebook.com/barkerandstonehouse/posts/pfbid02JyzXtiDAHgFWpJSBhccCPEWuad9czFgv3zgAe3UzjYs4WhzJERo68uxbn9oyVwFRl,0,0,Links,,,,,Lifetime,1295,870,2,2,0,0,5,5,,,,,,,,
