"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18079990379572249,17841438214611910,herlondonresidence,"Her London Residence","It’s not perfect, but our dining area is coming together nicely 🥺 Now we really need to get some curtains 😂 

#newhome #diningtable",14,"04/18/2026 00:52",https://www.instagram.com/reel/DXQ-gAvCleG/,"IG reel",,Lifetime,3022,2392,38,4,0,4,0
18099920308977335,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","More than just a furniture store💫

Step inside our Gateshead store, where beautiful interiors come together with a little something extra.

Browse our latest furniture collections, then take a break at our in‑house bistro, Chadwick & Co, serving delicious Mediterranean‑inspired dishes, desserts and drinks ☕🍽️

Visit your nearest store this spring to explore our new season arrivals and exclusive offers. And to celebrate our 80th anniversary, enjoy up to 19.46% off furniture!

📍 Barker and Stonehouse, Metro Retail Park, NE11 9XS",52,"04/18/2026 10:00",https://www.instagram.com/reel/DXR9aPMOUs5/,"IG reel",,Lifetime,14553,11527,114,14,3,5,11
18092361701172976,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","When the table is the centrepiece ✨

Meet the Tavira dining set, made for effortless outdoor entertaining.

Shop our garden offers this weekend in store and online, with free delivery and extra savings on selected pieces!",0,"04/19/2026 01:01",https://www.instagram.com/p/DXTkbhoDqaG/,"IG carousel",,Lifetime,5575,2859,67,5,0,6,8
18174408553359481,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Craving a bit of colour this spring? Take a look at some of our favourite colour choices to add warmth, contrast and a touch of softness this season👆🏼",15,"04/21/2026 08:40",https://www.instagram.com/reel/DXZiloPuzfQ/,"IG reel",,Lifetime,2344,1967,41,2,0,4,6
18337965376175449,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Spring Mood: Blue Hues 💙

Soft blues are a breath of fresh air for the season ahead. A palette that feels calm, cool, and quietly confident.",0,"04/22/2026 08:01",https://www.instagram.com/p/DXcC9nODEwY/,"IG carousel",,Lifetime,4389,2161,46,1,0,1,10
18053396048721833,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","From statement sofas to on‑trend coffee tables, discover our new‑season favourites designed to bring effortless style and comfort to your living space.

Celebrate 80 years of us this spring with up to 19.46% off our latest collections.",22,"04/23/2026 09:00",https://www.instagram.com/reel/DXUNoTjuVQL/,"IG reel",,Lifetime,2618,2107,39,4,2,2,5
18095316581033104,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","A day in the life of our Creative Stylist 🎨

Come behind the scenes on a shoot with Rhianon as she brings our spring vision to life.",32,"04/24/2026 09:00",https://www.instagram.com/reel/DXXKc46Orli/,"IG reel",,Lifetime,3817,2997,75,10,1,15,5
18069829586437276,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Style notes for your spring bedroom🌷

Update your sleep space with fresh textures, soft layers and a calming colour palette for slower mornings and softer evenings.",0,"04/25/2026 10:00",https://www.instagram.com/p/DXj-95GmoE6/,"IG carousel",,Lifetime,4737,2273,31,3,4,3,11
18117803734662258,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","The perfect outdoor escape 🍷🌼

A serene, sun‑kissed retreat brought to life with our Sirmione corner set styled by @katesgeorgianhome.",0,"04/26/2026 03:00",https://www.instagram.com/p/DXlzsX4mtHr/,"IG carousel",,Lifetime,5700,2896,63,4,0,8,3
18208480741328957,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Spring hosting starts here 🌿🍸

This Bank Holiday weekend, impress your guests with fresh florals, vintage touches and glassware worth showing off.",19,"04/28/2026 10:30",https://www.instagram.com/reel/DXrwv64OPeA/,"IG reel",,Lifetime,1979,1758,21,2,0,0,2
18085965296577952,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Spring Mood: Modern Metallics ✨

From statements pieces to accent accessories, metallics are shining this season. These re-imagined finishes feel fresh, calm and considered.",0,"04/30/2026 09:45",https://www.instagram.com/p/DXw1OIeDJm7/,"IG carousel",,Lifetime,4076,1967,23,2,1,0,6
18071376056306300,17841458466454655,houseofhetheringtons,"Georgia Hetherington | House of Hetheringtons","ad Pass the Lays and Fanta Lemon, cus this new set-up is giving HOLIDAY 🌞🍋

I’m THRILLED with our new outdoor furniture from @barkerandstoneshouse. I’m the most antisocial person you’ll ever meet, but you best believe I’ve been inviting people round non-stop since this was delivered and everyone’s said it makes them feel like they’re on holiday. It’s such a beautiful set - the shape, the colour, the material, everything! Not to mention the adjustable table, making it perfect for both casual drinks, or al fresco dining. 

If you need me this summer, find me here 🍹

#patioinspo #patiofurniture #gardeninspo #barkerandstonehouse",13,"04/30/2026 23:00",https://www.instagram.com/reel/DXyQKWFM3ur/,"IG reel",,Lifetime,146299,299308,497,74,78,69,0
18043297823556091,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Did you know you can now shop Barker and Stonehouse at Jarrolds Norwich?

@jarroldnorwich is a true icon that has been part of the city since 1770, and we’re proud to be part of the story.

Come and take a look around, we think you’ll love it!

📍 Barker and Stonehouse, Jarrolds Department Store, 1-11 London Street, Norwich.",31,"05/02/2026 02:30",https://www.instagram.com/reel/DX1NBLyu5QD/,"IG reel",,Lifetime,9249,7324,97,2,7,1,1
18079878599431291,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Bank Holiday plans: sorted 🌿☀️

Stretch out, soak up the sun and make the most of the long weekend with our garden collection. 

Shop this weekend and save an extra £50 off when you spend £500 on garden furniture.",0,"05/03/2026 01:01",https://www.instagram.com/p/DX3np3bDQ_t/,"IG carousel",,Lifetime,5001,2454,34,0,0,3,0
18093612710177819,17841458466454655,houseofhetheringtons,"Georgia Hetherington | House of Hetheringtons","ad @barkerandstonehouse UNDERSTOOD the brief...

...to feel like we’re on holiday at home 🍓

Obsessed with our dreamy new outdoor set up. I head back to work after 13 months on maternity leave in two weeks and the idea of attending Zoom meetings from the comfort of our new patio is making that prospect a little bit easier ☕ 💻

I have been so impressed with the quality of this set, and not to mention it came fully assembled, which made the whole process SO much easier. The delivery guys were great and brought it right to our garden, I didn’t even need to lift a finger!

#patioinspo #patiofurniture #gardeninspo #barkerandstonehouse",0,"05/03/2026 23:15",https://www.instagram.com/p/DX6AT27DXxO/,"IG carousel",,Lifetime,9041,5349,97,4,3,33,0
18076817903192819,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Style the Savernake Bookcase with us📚

For our Club Classic look, we combined modern favourites with vintage finds, layering old and new to create a look that feels timeless yet personal.

Save this for your next shelf refresh 🙌🏼",24,"05/06/2026 10:30",https://www.instagram.com/reel/DX7NiyfOCA-/,"IG reel",,Lifetime,1934,1768,22,1,0,2,2
17919497424146840,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Round tables + neutral chairs = the perfect combination 👌

Swipe to see some of our favourite dining looks, styled by you.

@martabarlettatheone
@herlondonresidence
@atnumberfiftyseven
@athomewiththenicholsfamily
@our2025foreverhome",0,"05/07/2026 08:30",https://www.instagram.com/p/DYCuMUjjbxw/,"IG carousel",,Lifetime,7048,3391,42,5,0,1,6
18092908454228044,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Milan Design Week 2026: through the eyes of our Creative Director 🇮🇹

Swipe to see the colours, textures and details that caught our attention this year. Stay tuned to see where this inspiration takes us next...",0,"05/08/2026 09:30",https://www.instagram.com/p/DYFZ2sFDJEN/,"IG carousel",,Lifetime,6786,3309,66,21,1,7,8
18105049259510784,17841406875494381,life_at_the_lodge,"Life At The Lodge","AD Come sofa shopping with me at Barker and Stonehouse.

I’m currently searching for a new sofa. Comfort is the priority, alongside a modular design and a timeless aesthetic that will work beautifully for years to come.

So naturally, I headed @barkerandstonehouse , known for their beautifully curated furniture and focus on quality craftsmanship. With so many stunning designs to choose from, I knew this was going to be a very good day.

What I loved most was how customisable everything felt. From the fabric choices to the different configurations, it really felt like I could create something perfectly suited to my space and style. The staff were so friendly knowledgeable too, talking me through all the options and helping bring my vision to life.

After browsing, I headed up to Chadwick & Co for a bite to eat while I thought over my favourites and made my final decision.

Can you guess which one I chose? There are definitely a few clues throughout… 

#newsofa #sofadesign #barkerandstonehouse #sofashopping",45,"05/08/2026 23:02",https://www.instagram.com/reel/DYG2i69o7fu/,"IG reel",,Lifetime,25658,74016,145,12,23,33,0
