"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,"Link clicks",Navigation,"Profile visits",Follows,"Sticker taps"
18126627922576860,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/04/2026 00:39",https://www.instagram.com/stories/barkerandstonehouse/3867721747965699915,"IG story",,Lifetime,2632,2382,2,0,1,,2489,12,,
18013326374681306,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,20,"04/04/2026 07:00",https://www.instagram.com/stories/barkerandstonehouse/3867913564938092128,"IG story",,Lifetime,2496,2213,6,1,0,,2086,16,1,
17977270313843269,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,31,"04/07/2026 01:15",https://www.instagram.com/stories/barkerandstonehouse/3869913995365073653,"IG story",,Lifetime,1206,1095,6,0,0,,1103,12,1,
17853211848642676,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,20,"04/07/2026 01:20",https://www.instagram.com/stories/barkerandstonehouse/3869916517559471368,"IG story",,Lifetime,1260,1148,4,0,0,,874,3,1,
17864818743613568,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/08/2026 08:46",https://www.instagram.com/stories/barkerandstonehouse/3870865888673288022,"IG story",,Lifetime,1476,1256,9,1,2,,883,11,,
18115142419663805,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/08/2026 08:46",https://www.instagram.com/stories/barkerandstonehouse/3870865888253870576,"IG story",,Lifetime,1051,917,4,0,0,4,682,3,,
18101515040476536,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/08/2026 08:46",https://www.instagram.com/stories/barkerandstonehouse/3870865888304203078,"IG story",,Lifetime,946,835,4,0,0,3,622,2,,
18096972167081864,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/08/2026 08:46",https://www.instagram.com/stories/barkerandstonehouse/3870865892095839923,"IG story",,Lifetime,893,804,2,1,0,3,583,,,
18546035431066426,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/08/2026 08:49",https://www.instagram.com/stories/barkerandstonehouse/3870867438619620641,"IG story",,Lifetime,965,855,3,1,0,4,573,,1,
17931911703248806,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/08/2026 08:49",https://www.instagram.com/stories/barkerandstonehouse/3870867440171546608,"IG story",,Lifetime,834,757,3,0,1,2,565,,,
18068292059671021,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,15,"04/08/2026 08:50",https://www.instagram.com/stories/barkerandstonehouse/3870867799950549215,"IG story",,Lifetime,578,518,4,0,0,,526,5,,
18596147812016341,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,18,"04/10/2026 01:32",https://www.instagram.com/stories/barkerandstonehouse/3872096869048666448,"IG story",,Lifetime,1463,1279,9,0,1,9,1070,12,,
17855640315690575,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/10/2026 08:22",https://www.instagram.com/stories/barkerandstonehouse/3872303243686847581,"IG story",,Lifetime,1024,930,3,0,0,,762,3,,
18128619589499503,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/10/2026 08:22",https://www.instagram.com/stories/barkerandstonehouse/3872303243804297716,"IG story",,Lifetime,885,814,0,0,0,,665,1,,
17900961228413096,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/10/2026 08:22",https://www.instagram.com/stories/barkerandstonehouse/3872303242512482969,"IG story",,Lifetime,859,782,3,0,0,13,629,5,,
17951312670128710,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,60,"04/11/2026 02:09",https://www.instagram.com/stories/barkerandstonehouse/3872839794984545066,"IG story",,Lifetime,1193,1084,7,0,0,,1093,3,,
18092834738174942,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,20,"04/11/2026 02:09",https://www.instagram.com/stories/barkerandstonehouse/3872840057321433055,"IG story",,Lifetime,1024,869,5,0,0,,972,6,,54
17954606271120576,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/13/2026 08:50",https://www.instagram.com/stories/barkerandstonehouse/3874491804183981191,"IG story",,Lifetime,1230,1112,6,0,0,,848,2,,
17944695740998458,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/13/2026 08:50",https://www.instagram.com/stories/barkerandstonehouse/3874491804729276944,"IG story",,Lifetime,928,849,2,0,0,5,631,2,,
18402593929147100,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/13/2026 08:50",https://www.instagram.com/stories/barkerandstonehouse/3874491804704050700,"IG story",,Lifetime,859,784,2,0,0,3,590,,,
17900034831418180,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/13/2026 08:50",https://www.instagram.com/stories/barkerandstonehouse/3874491806516014819,"IG story",,Lifetime,813,748,2,0,0,2,570,,,
18079755467166586,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/13/2026 08:50",https://www.instagram.com/stories/barkerandstonehouse/3874491805937195573,"IG story",,Lifetime,795,729,0,0,0,1,552,1,,
18097033379011463,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/13/2026 08:50",https://www.instagram.com/stories/barkerandstonehouse/3874491809233941234,"IG story",,Lifetime,792,714,2,0,0,1,543,1,,
18104325217910095,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/13/2026 08:50",https://www.instagram.com/stories/barkerandstonehouse/3874491810324475948,"IG story",,Lifetime,774,698,0,0,0,1,535,,,
17958222804118176,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/13/2026 08:52",https://www.instagram.com/stories/barkerandstonehouse/3874492539529396183,"IG story",,Lifetime,735,686,0,0,0,,506,1,,
18103186730298914,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,15,"04/13/2026 08:52",https://www.instagram.com/stories/barkerandstonehouse/3874492761911390708,"IG story",,Lifetime,685,651,3,0,0,,477,,,
18580395619022633,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/15/2026 08:42",https://www.instagram.com/stories/barkerandstonehouse/3875937261384956316,"IG story",,Lifetime,1114,1024,3,0,1,,763,3,,
18103009595492955,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/15/2026 08:42",https://www.instagram.com/stories/barkerandstonehouse/3875937263498832622,"IG story",,Lifetime,880,803,3,0,1,3,577,1,,
18118494187632717,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/15/2026 08:42",https://www.instagram.com/stories/barkerandstonehouse/3875937268154528873,"IG story",,Lifetime,829,755,5,0,0,2,541,2,,
18115327399670431,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/15/2026 08:42",https://www.instagram.com/stories/barkerandstonehouse/3875937269773527492,"IG story",,Lifetime,939,831,1,1,0,7,511,1,,
17865573471614122,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/15/2026 08:42",https://www.instagram.com/stories/barkerandstonehouse/3875937271342179338,"IG story",,Lifetime,774,708,2,0,0,1,498,,,
18335109634246961,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/15/2026 08:42",https://www.instagram.com/stories/barkerandstonehouse/3875937260554452415,"IG story",,Lifetime,748,679,1,0,0,4,476,3,,
18118728445636141,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/17/2026 02:03",https://www.instagram.com/stories/barkerandstonehouse/3877185943879046183,"IG story",,Lifetime,2803,2480,6,1,1,,2046,6,,5
18001113326866190,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/17/2026 02:03",https://www.instagram.com/stories/barkerandstonehouse/3877186158954561043,"IG story",,Lifetime,2320,1963,5,7,3,,1724,12,,26
18069818408400785,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/17/2026 03:36",https://www.instagram.com/stories/barkerandstonehouse/3877233039847984289,"IG story",,Lifetime,1736,1503,2,0,1,,1553,14,,
17854320240641055,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,5,"04/17/2026 10:50",https://www.instagram.com/stories/barkerandstonehouse/3877451267371228004,"IG story",,Lifetime,1488,1318,3,1,0,,1292,7,,
18160919350449140,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,17,"04/18/2026 23:20",https://www.instagram.com/stories/barkerandstonehouse/3878553247724401405,"IG story",,Lifetime,1944,1691,8,1,2,,1777,17,1,
17854189299648669,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,17,"04/19/2026 09:26",https://www.instagram.com/stories/barkerandstonehouse/3878858321658945495,"IG story",,Lifetime,1250,1078,6,0,1,,1141,6,,44
18069282533409421,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/20/2026 03:33",https://www.instagram.com/stories/barkerandstonehouse/3879405627026208521,"IG story",,Lifetime,5664,4806,14,2,1,46,4830,22,,23
18122667640625587,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/23/2026 07:51",https://www.instagram.com/stories/barkerandstonehouse/3881709588773125115,"IG story",,Lifetime,1041,962,1,0,0,2,963,5,1,
18582976630019115,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/27/2026 02:23",https://www.instagram.com/stories/barkerandstonehouse/3884443972823474049,"IG story",,Lifetime,5791,4848,10,2,0,,5113,44,,10
18076956179330206,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/29/2026 00:48",https://www.instagram.com/stories/barkerandstonehouse/3885845627649428987,"IG story",,Lifetime,748,652,4,0,1,,722,3,,3
18069632999324114,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/30/2026 03:41",https://www.instagram.com/stories/barkerandstonehouse/3886657361477956844,"IG story",,Lifetime,9596,8659,2,0,0,,3617,4,,2
18021782882827986,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"04/30/2026 03:41",https://www.instagram.com/stories/barkerandstonehouse/3886657415039187367,"IG story",,Lifetime,7355,6603,11,0,2,,6591,29,,17
18160866649433537,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"05/01/2026 01:21",https://www.instagram.com/stories/barkerandstonehouse/3887311829315936924,"IG story",,Lifetime,944,828,11,0,3,,836,6,2,13
18586202830011356,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"05/01/2026 01:21",https://www.instagram.com/stories/barkerandstonehouse/3887311916305763216,"IG story",,Lifetime,663,587,3,0,0,,596,1,,13
17858323008634335,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"05/01/2026 01:21",https://www.instagram.com/stories/barkerandstonehouse/3887311947888871071,"IG story",,Lifetime,593,526,3,1,1,,556,1,,
17948388237156272,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"05/01/2026 01:22",https://www.instagram.com/stories/barkerandstonehouse/3887311992423983511,"IG story",,Lifetime,564,497,3,0,0,,532,,,2
18094535105128291,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,13,"05/01/2026 01:24",https://www.instagram.com/stories/barkerandstonehouse/3887313075351379668,"IG story",,Lifetime,519,470,4,0,0,5,485,1,,
18064005620402704,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"05/01/2026 04:01",https://www.instagram.com/stories/barkerandstonehouse/3887392307238674056,"IG story",,Lifetime,568,499,1,0,0,,513,1,,
18096242962890148,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,20,"05/01/2026 04:07",https://www.instagram.com/stories/barkerandstonehouse/3887395291670520152,"IG story",,Lifetime,509,439,2,0,0,1,486,1,,
18413732905134273,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"05/01/2026 07:45",https://www.instagram.com/stories/barkerandstonehouse/3887505073567960035,"IG story",,Lifetime,676,600,1,1,0,7,629,,,
18343092817300600,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"05/05/2026 02:40",https://www.instagram.com/stories/barkerandstonehouse/3890250761605551843,"IG story",,Lifetime,1003,898,11,0,1,,912,5,,
18080681963409671,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"05/05/2026 02:48",https://www.instagram.com/stories/barkerandstonehouse/3890254585896505522,"IG story",,Lifetime,781,690,5,0,1,7,714,4,,
17969713314047406,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,45,"05/09/2026 07:54",https://www.instagram.com/stories/barkerandstonehouse/3893307530109802793,"IG story",,Lifetime,2046,1830,1,1,0,,1909,12,1,
18425828881122060,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"05/11/2026 06:49",https://www.instagram.com/stories/barkerandstonehouse/3894724383164109763,"IG story",,Lifetime,1238,1068,3,0,0,52,1095,8,,
18075615065355008,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","THE TEAM HAVE ARRIVED AT @TEMPUR_UK 😆",0,"05/14/2026 02:36",https://www.instagram.com/stories/barkerandstonehouse/3896771496272485800,"IG story",,Lifetime,912,811,8,0,0,,839,3,,
