"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18086135261448106,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Summer is officially here ☀️🏖️

Shop our Summer Sale now and refresh your home and garden for the season ahead, with up to 25% off furniture and up to 50% off clearance.",0,"06/28/2026 03:25",https://www.instagram.com/p/DaIEng-FCmy/,"IG image",,Lifetime,2726,1725,8,1,0,0,0
17903929434456325,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Introducing Dakota by @tetradsofas
A new story in texture and comfort",0,"06/29/2026 09:47",https://www.instagram.com/p/DaLVJRVj3np/,"IG carousel",,Lifetime,7467,3386,94,16,1,7,9
18133401205607488,17841401782466545,newgirlintoon,"New Girl in Toon | North East Guide","The Metrocentre is probably the last place you’d expect to find one of the North East’s loveliest rooftop terraces, but just a stone’s throw away, hidden inside a furniture shop, is one of the region’s most unexpected breakfast spots. 

This is Chadwick & Co, a coffee house and kitchen hidden on a third floor mezzanine inside Barker & Stonehouse.   

The space is stunning with exposed brick, statement lighting, huge ceilings and plenty of seating.

But the real highlight has to be the outdoor terrace.  A beautiful suntrap that honestly feels a million miles away from Gateshead. 

And then there’s the food!  Specailising in Greek and Levantine flavours inspired by travels around the Mediterranean, the dishes are created using locally sourced ingredients and their breakfast menu really is something special.  

I went for the Greek Brioche Toast and it was unlike any French Toast I have ever had before, made using traditional sweet Greek brioche, it comes served with Greek Yoghurt, Fruit Compote, Almonds, Honey and Cinnamon and if holidays made breakfast, this would be it!  It was absolutely stunning! 

Rest assured I am now very much looking forward to working my way through the whole menu.

This rooftop breakfast spot really is hiding in plain sight and it’s well worth adding to your list.

📍 You’ll find Chadwick & Co at Barker & Stonehouse, Metro Park West, Gibside Way, Gateshead, NE11 9XS

⏰ Open Monday-Saturday: 10:00 – 16:00
and Sunday: 11am –16:00

🐶 Dog friendly",81,"06/29/2026 22:13",https://www.instagram.com/reel/DaMqe1nqQxG/,"IG reel",,Lifetime,110247,88633,1807,2310,166,84,0
17981420568040942,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Summer in a sofa 🍊🧡

Our Lavinia sofa adds the perfect pop of colour to @amelia_home_edit's lounge.

Is your house a Barker and Stonehouse? Tag us in your home snaps and we'll share our favourites!",0,"07/01/2026 09:35",https://www.instagram.com/p/DaQdW1hGq0W/,"IG carousel",,Lifetime,4478,2077,50,2,1,6,15
17909367639431483,17841470052833390,monkeymews_,"Imogen | MonkeyMews","Ad|If you needed a sign to upgrade your dining area, this is it… 🤍

The Lexa dining chairs from @barkerandstonehouse are everything I was looking for - neutral, bouclé, an elegant open-back design, and made to last.

And can we talk about that ash wood frame? Obsessed.

Happy Friday ✨

#barkerandstonehouse #dining #diningchair #interiors #home",13,"07/02/2026 22:15",https://www.instagram.com/reel/DaUZLaqMFV_/,"IG reel",,Lifetime,6854,5512,291,11,4,218,0
18119994157784677,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","The secret to an interesting dining room? Mix, don’t match ✨

Layering different chairs around your table is one of the easiest ways to add personality and depth to your space, and it’s easier than you think.

From textures and tones to shapes and styles, here’s how to mix and match dining chairs the right way.",30,"07/04/2026 02:30",https://www.instagram.com/reel/DaXbKZ0uAbj/,"IG reel",,Lifetime,16196,13012,78,10,214,0,48
18315517087263015,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Your summer refresh starts here ⛱️

Save big in our Summer Sale, with 25% off furniture, up to 50% off clearance, and 70% off accessories!

Shop now and find the pieces you'll love for less.",12,"07/05/2026 01:30",https://www.instagram.com/reel/DaXUPdmuAGO/,"IG reel",,Lifetime,1926,1599,16,1,1,0,2
17959009965136835,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","Discover Dakota’s more colourful side, by @tetradsofas

For those who like their comfort with a little more character.",0,"07/06/2026 09:51",https://www.instagram.com/p/DadXM9OEdn_/,"IG carousel",,Lifetime,4716,2216,57,7,0,5,3
18097153859243782,17841445860642640,yorkshirehousebuild,"Juliette- INTERIORS","AD | The garden has officially gained a new favourite spot. 🤍

I’ve been on the lookout for an egg chair that feels as good as it looks, and this one from @barkerandstonehouse is exactly what I had in mind. It’s the perfect place for a morning coffee, an evening drink, or simply five minutes of peace while the kids are playing.

It’s added such a cosy, relaxed feel to the garden, and I know it’s going to be one of those pieces we use all summer long.

If you’re looking to create a little sanctuary in your own garden, I’d definitely recommend taking a look at the outdoor collection at Barker and Stonehouse 

#BarkerAndStonehouse #GardenInspiration #OutdoorLiving #GardenStyling #GardenFurniture

egg chair, outdoor furniture, garden furniture, garden styling, outdoor living, patio inspiration, garden makeover, luxury garden, cosy garden, garden seating, summer garden, outdoor décor, neutral garden, home and garden.",14,"07/07/2026 10:00",https://www.instagram.com/reel/Daf8_U6sQg0/,"IG reel",,Lifetime,41825,32813,169,8,12,24,0
18476820436098657,17841400079643420,barkerandstonehouse,"Barker and Stonehouse","One of our most frequently asked questions is: “Which dining chairs go with which tables?”

So we’re here to help! Starting with one of our favourite styles: statement, sculptural dining tables.

When choosing chairs to pair with this type of table, look for designs that complement the table’s bold form. Try:

✨ Clean lines & metallic details
✨ Modern shapes & playful colours
✨ Organic curves & tactile textures

The key is to balance strong silhouettes with materials and finishes that add warmth, contrast and personality.

Save this for your next dining room refresh and follow along for more chair pairings coming soon!",15,"07/09/2026 09:30",https://www.instagram.com/reel/DalDG9jOFDu/,"IG reel",,Lifetime,16980,12796,78,3,137,2,33
